销售日期,店风格,店名,店性质,品类描述,品牌描述,所属大区,所属小区,销售额,毛利,毛利率(%)
2017-9-27,生活馆,上七宝店,自有店,男士上班服装,RACB JJQN,东南区,上海,6299,195,3.1
2017-9-27,生活馆,哈尔滨百货,自有店,男士配饰,ZIPPO(之宝),北方区,东北,2799,792,28.3
2017-9-27,生活馆,哈尔滨百货,自有店,男士配饰,ZIPPO(之宝),北方区,东北,9615,432,4.49
2017-9-27,生活馆,天新百店,自有店,男士配饰,ZIPPO(之宝),北方区,华北,1149,299,26.02
2017-9-27,生活馆,北京一期（百货）,自有店,男士配饰,ZIPPO(之宝),北方区,华北,6341,201,3.17
2017-9-27,时尚馆,上虹口店,自有店,男士配饰,ZIPPO(之宝),东南区,上海,7549,196,2.6
2017-9-27,生活馆,上浦建店,自有店,男士配饰,ZIPPO(之宝),东南区,上海,5719,157,2.75
2017-9-27,生活馆,上宝山店,自有店,男士配饰,ZIPPO(之宝),东南区,上海,6529,179,2.74
2017-9-27,时尚馆,武淮美店,自有店,男士配饰,ZIPPO(之宝),中西区,华中,3279,918,28
2017-9-27,时尚馆,武徐东店,管理店,男士配饰,ZIPPO(之宝),中西区,华中,1397,377,26.99
2017-9-27,生活馆,武汉阳店,自有店,男士配饰,ZIPPO(之宝),中西区,华中,1319,359,27.22
2017-9-27,时尚馆,长沙店,自有店,男士配饰,ZIPPO(之宝),中西区,中南,8639,239,2.77
2017-9-27,生活馆,郑州店,自有店,男士配饰,ZIPPO(之宝),中西区,中南,9429,193,2.05
2017-9-27,时尚馆,昆明店,自有店,男士配饰,ZIPPO(之宝),中西区,西南,2999,758,25.28
2017-9-27,时尚馆,重庆店,自有店,男士配饰,ZIPPO(之宝),中西区,西南,1519,418,27.52
2017-9-27,时尚馆,成都店,自有店,男士配饰,ZIPPO(之宝),中西区,西南,1383,359,25.96
2017-9-27,生活馆,上成山店,自有店,男士皮鞋,HANG TEN,东南区,上海,4318,116,2.69
2017-9-27,生活馆,沈津桥店.,自有店,儿童服装,PAW IN PAW,北方区,东北,5799,928,16
2017-9-27,生活馆,沈津桥店.,自有店,儿童服装,PAW IN PAW,北方区,东北,5999,661,11.02
2017-9-27,生活馆,北京一期（百货）,自有店,儿童服装,PAW IN PAW,北方区,华北,2116,529,25
2017-9-27,生活馆,北利莹百_,自有店,儿童服装,PAW IN PAW,北方区,华北,3646,884,24.25
2017-9-27,时尚馆,武徐东店,管理店,儿童服装,PAW IN PAW,中西区,华中,5579,100,1.79
2017-9-27,时尚馆,武徐东店,管理店,儿童服装,PAW IN PAW,中西区,华中,2103,378,17.97
2017-9-27,时尚馆,重庆店,自有店,儿童服装,PAW IN PAW,中西区,西南,2391,287,12
2017-9-27,时尚馆,重庆店,自有店,儿童服装,PAW IN PAW,中西区,西南,1209,145,11.99
